X,Y,Z,TMI_nT,Std_nT
1501.30000,40868.00000,40.00000,250.56000,10.01120
1504.70000,40768.00000,40.00000,298.99000,10.97980
1508.00000,40668.00000,40.00000,342.24000,11.84480
1511.40000,40568.00000,40.00000,375.32000,12.50640
1515.00000,40468.00000,40.00000,395.18000,12.90360
1516.90000,40368.00000,40.00000,397.33000,12.94660
1517.00000,40268.00000,40.00000,377.27000,12.54540
1517.30000,40168.00000,40.00000,359.41000,12.18820
1519.70000,40068.00000,40.00000,394.37000,12.88740
1575.00000,40053.00000,40.00000,333.60000,11.67200
1581.30000,40153.00000,40.00000,349.66000,11.99320
1588.50000,40252.00000,40.00000,329.97000,11.59940
1595.90000,40352.00000,40.00000,350.98000,12.01960
1600.60000,40452.00000,40.00000,365.31000,12.30620
1602.40000,40552.00000,40.00000,366.93000,12.33860
1605.50000,40652.00000,40.00000,348.83000,11.97660
1609.60000,40752.00000,40.00000,316.97000,11.33940
1612.00000,40852.00000,40.00000,279.20000,10.58400
1611.60000,40952.00000,40.00000,239.14000,9.78280
1609.60000,41052.00000,40.00000,200.21000,9.00420
1606.80000,41152.00000,40.00000,163.46000,8.26920
1602.80000,41252.00000,40.00000,127.02000,7.54040
1598.20000,41351.00000,40.00000,106.26000,7.12520
1594.60000,41451.00000,40.00000,185.77000,8.71540
1591.60000,41551.00000,40.00000,81.41000,6.62820
1590.00000,41651.00000,40.00000,48.20000,5.96400
1589.90000,41751.00000,40.00000,37.64000,5.75280
1592.70000,41851.00000,40.00000,34.38000,5.68760
1597.30000,41951.00000,40.00000,27.06000,5.54120
1601.60000,42051.00000,40.00000,21.90000,5.43800
1606.50000,42151.00000,40.00000,16.96000,5.33920
1610.00000,42251.00000,40.00000,14.43000,5.28860
1612.10000,42351.00000,40.00000,11.18000,5.22360
1610.60000,42451.00000,40.00000,8.84000,5.17680
1606.90000,42551.00000,40.00000,10.68000,5.21360
1604.10000,42651.00000,40.00000,11.43000,5.22860
1601.50000,42751.00000,40.00000,10.68000,5.21360
1600.00000,42851.00000,40.00000,11.84000,5.23680
1599.70000,42951.00000,40.00000,3.77000,5.07540
1712.00000,42967.00000,40.00000,14.20000,5.28400
1709.30000,42867.00000,40.00000,13.16000,5.26320
1706.90000,42767.00000,40.00000,12.35000,5.24700
1705.00000,42667.00000,40.00000,12.09000,5.24180
1704.50000,42567.00000,40.00000,11.05000,5.22100
1704.00000,42467.00000,40.00000,10.08000,5.20160
1704.00000,42367.00000,40.00000,11.49000,5.22980
1703.00000,42267.00000,40.00000,14.37000,5.28740
1703.00000,42167.00000,40.00000,20.10000,5.40200
1704.00000,42067.00000,40.00000,25.88000,5.51760
1705.00000,41967.00000,40.00000,38.28000,5.76560
1703.60000,41867.00000,40.00000,41.75000,5.83500
1701.00000,41767.00000,40.00000,48.38000,5.96760
1700.00000,41667.00000,40.00000,56.93000,6.13860
1701.00000,41567.00000,40.00000,84.36000,6.68720
1701.00000,41467.00000,40.00000,168.00000,8.36000
1701.00000,41367.00000,40.00000,132.21000,7.64420
1701.00000,41267.00000,40.00000,133.00000,7.66000
1703.00000,41167.00000,40.00000,162.20000,8.24400
1704.60000,41067.00000,40.00000,196.80000,8.93600
1706.00000,40967.00000,40.00000,233.90000,9.67800
1708.30000,40867.00000,40.00000,270.38000,10.40760
1709.60000,40767.00000,40.00000,302.96000,11.05920
1710.00000,40667.00000,40.00000,327.66000,11.55320
1707.70000,40567.00000,40.00000,341.63000,11.83260
1705.00000,40467.00000,40.00000,343.14000,11.86280
1705.60000,40367.00000,40.00000,331.77000,11.63540
1705.10000,40267.00000,40.00000,307.66000,11.15320
1701.50000,40167.00000,40.00000,296.43000,10.92860
1700.00000,40067.00000,40.00000,291.82000,10.83640
1789.00000,40040.00000,40.00000,220.30000,9.40600
1789.00000,40140.00000,40.00000,269.21000,10.38420
1791.00000,40240.00000,40.00000,267.10000,10.34200
1792.30000,40340.00000,40.00000,289.29000,10.78580
1793.00000,40440.00000,40.00000,317.62000,11.35240
1794.80000,40540.00000,40.00000,328.13000,11.56260
1798.00000,40640.00000,40.00000,327.77000,11.55540
1803.20000,40739.00000,40.00000,315.19000,11.30380
1806.10000,40839.00000,40.00000,287.55000,10.75100
1808.00000,40939.00000,40.00000,259.00000,10.18000
1809.00000,41039.00000,40.00000,225.31000,9.50620
1809.80000,41139.00000,40.00000,194.76000,8.89520
1810.90000,41239.00000,40.00000,163.96000,8.27920
1812.00000,41339.00000,40.00000,137.37000,7.74740
1811.80000,41439.00000,40.00000,112.33000,7.24660
1809.10000,41539.00000,40.00000,91.48000,6.82960
1805.50000,41639.00000,40.00000,69.91000,6.39820
1802.90000,41739.00000,40.00000,59.62000,6.19240
1801.00000,41839.00000,40.00000,48.99000,5.97980
1798.00000,41939.00000,40.00000,46.40000,5.92800
1797.00000,42039.00000,40.00000,34.15000,5.68300
1798.00000,42139.00000,40.00000,24.70000,5.49400
1798.80000,42239.00000,40.00000,18.37000,5.36740
1801.60000,42339.00000,40.00000,13.88000,5.27760
1802.90000,42439.00000,40.00000,10.00000,5.20000
1804.50000,42539.00000,40.00000,9.50000,5.19000
1806.30000,42639.00000,40.00000,10.30000,5.20600
1808.00000,42739.00000,40.00000,13.31000,5.26620
1806.90000,42839.00000,40.00000,12.20000,5.24400
1804.10000,42939.00000,40.00000,11.14000,5.22280
1909.00000,42970.00000,40.00000,9.30000,5.18600
1910.80000,42870.00000,40.00000,9.40000,5.18800
1911.00000,42770.00000,40.00000,11.88000,5.23760
1910.00000,42670.00000,40.00000,10.78000,5.21560
1908.40000,42570.00000,40.00000,10.40000,5.20800
1905.90000,42470.00000,40.00000,11.42000,5.22840
1903.50000,42370.00000,40.00000,13.08000,5.26160
1900.10000,42270.00000,40.00000,16.97000,5.33940
1897.60000,42170.00000,40.00000,22.50000,5.45000
1895.20000,42070.00000,40.00000,29.83000,5.59660
1894.00000,41970.00000,40.00000,41.25000,5.82500
