X,Y,Z,TMI_nT,Error_Est
557180.00000,7133480.00000,442.01270,54.49606,1.00000
557200.00000,7133480.00000,442.01270,58.01486,1.00000
557220.00000,7133480.00000,442.01270,60.61655,1.00000
557240.00000,7133480.00000,442.00390,64.64204,1.00000
557260.00000,7133480.00000,442.00340,62.43942,1.00000
557280.00000,7133480.00000,442.00340,64.96090,1.00000
557300.00000,7133480.00000,442.00830,59.61747,1.00000
557320.00000,7133480.00000,441.99130,54.56406,1.00000
557340.00000,7133480.00000,441.93790,46.25578,1.00000
557360.00000,7133480.00000,441.93790,35.69063,1.00000
557380.00000,7133480.00000,441.86960,25.96942,1.00000
557400.00000,7133480.00000,441.90120,20.51845,1.00000
557420.00000,7133480.00000,442.18730,16.15547,1.00000
557440.00000,7133480.00000,442.18730,12.98014,1.00000
557460.00000,7133480.00000,442.84010,9.31500,1.00000
557480.00000,7133480.00000,443.78010,7.03339,1.00000
557500.00000,7133480.00000,444.88050,6.07593,1.00000
557520.00000,7133480.00000,444.88050,2.60134,1.00000
557540.00000,7133480.00000,446.00120,-1.51527,1.00000
557560.00000,7133480.00000,447.07370,-2.92702,1.00000
557580.00000,7133480.00000,448.05250,-4.03462,1.00000
557600.00000,7133480.00000,448.05250,-4.04860,1.00000
557000.00000,7133500.00000,445.78390,1.35981,1.00000
557020.00000,7133500.00000,445.78390,2.03792,1.00000
557040.00000,7133500.00000,443.85640,2.32906,1.00000
557060.00000,7133500.00000,442.60250,9.07241,1.00000
557080.00000,7133500.00000,441.96420,13.07200,1.00000
557100.00000,7133500.00000,441.80730,19.12732,1.00000
557120.00000,7133500.00000,441.80730,29.36785,1.00000
557140.00000,7133500.00000,441.87720,39.70451,1.00000
557160.00000,7133500.00000,441.96870,47.43900,1.00000
557180.00000,7133500.00000,442.01220,53.07488,1.00000
557200.00000,7133500.00000,442.01220,58.99013,1.00000
557220.00000,7133500.00000,442.01150,63.36319,1.00000
557240.00000,7133500.00000,442.00330,66.93650,1.00000
557260.00000,7133500.00000,442.00400,66.06998,1.00000
557280.00000,7133500.00000,442.00400,64.64126,1.00000
557300.00000,7133500.00000,442.00940,63.55261,1.00000
557320.00000,7133500.00000,441.99540,58.59749,1.00000
557340.00000,7133500.00000,441.94320,49.82327,1.00000
557360.00000,7133500.00000,441.94320,39.77121,1.00000
557380.00000,7133500.00000,441.87210,34.15301,1.00000
557400.00000,7133500.00000,441.87720,28.81390,1.00000
557420.00000,7133500.00000,442.15010,23.15120,1.00000
557440.00000,7133500.00000,442.15010,20.74351,1.00000
557460.00000,7133500.00000,442.79720,16.20682,1.00000
557480.00000,7133500.00000,443.80380,11.96712,1.00000
557500.00000,7133500.00000,445.01430,10.89624,1.00000
557520.00000,7133500.00000,445.01430,3.92028,1.00000
557540.00000,7133500.00000,446.24350,3.47391,1.00000
557560.00000,7133500.00000,447.38970,0.65208,1.00000
557580.00000,7133500.00000,448.42220,-1.23597,1.00000
557600.00000,7133500.00000,448.42220,-3.01472,1.00000
557000.00000,7133520.00000,445.97810,0.92141,1.00000
557020.00000,7133520.00000,445.97810,2.94845,1.00000
557040.00000,7133520.00000,444.00450,3.52412,1.00000
557060.00000,7133520.00000,442.68250,8.48702,1.00000
557080.00000,7133520.00000,441.98860,11.63859,1.00000
557100.00000,7133520.00000,441.79380,18.67602,1.00000
557120.00000,7133520.00000,441.79380,27.31694,1.00000
557140.00000,7133520.00000,441.85480,37.07219,1.00000
557160.00000,7133520.00000,441.94870,45.33344,1.00000
557180.00000,7133520.00000,442.00590,55.25010,1.00000
557200.00000,7133520.00000,442.00590,59.73211,1.00000
557220.00000,7133520.00000,442.01130,66.30343,1.00000
557240.00000,7133520.00000,442.00280,66.60893,1.00000
557260.00000,7133520.00000,442.00550,67.90454,1.00000
557280.00000,7133520.00000,442.00550,67.24781,1.00000
557300.00000,7133520.00000,442.01100,64.90374,1.00000
557320.00000,7133520.00000,441.99670,62.88285,1.00000
557340.00000,7133520.00000,441.94230,55.22776,1.00000
557360.00000,7133520.00000,441.94230,50.22049,1.00000
557380.00000,7133520.00000,441.86880,44.27252,1.00000
557400.00000,7133520.00000,441.85490,39.96478,1.00000
557420.00000,7133520.00000,442.10130,36.71186,1.00000
557440.00000,7133520.00000,442.10130,34.84095,1.00000
557460.00000,7133520.00000,442.73890,26.68757,1.00000
557480.00000,7133520.00000,443.78480,22.73893,1.00000
557500.00000,7133520.00000,445.08500,16.61557,1.00000
557520.00000,7133520.00000,445.08500,11.13735,1.00000
557540.00000,7133520.00000,446.42660,5.31644,1.00000
557560.00000,7133520.00000,447.68040,3.10237,1.00000
557580.00000,7133520.00000,448.78680,2.03877,1.00000
557600.00000,7133520.00000,448.78680,-2.76487,1.00000
557000.00000,7133540.00000,446.00160,-1.59053,1.00000
557020.00000,7133540.00000,446.00160,1.26651,1.00000
557040.00000,7133540.00000,444.08670,3.61478,1.00000
557060.00000,7133540.00000,442.73650,5.47067,1.00000
557080.00000,7133540.00000,442.01240,12.78310,1.00000
557100.00000,7133540.00000,441.79130,16.14106,1.00000
557120.00000,7133540.00000,441.79130,24.40998,1.00000
557140.00000,7133540.00000,441.84000,34.37009,1.00000
557160.00000,7133540.00000,441.93690,43.49317,1.00000
557180.00000,7133540.00000,441.99560,52.24925,1.00000
557200.00000,7133540.00000,441.99560,57.42779,1.00000
557220.00000,7133540.00000,442.00890,62.03486,1.00000
557240.00000,7133540.00000,442.00450,67.52407,1.00000
557260.00000,7133540.00000,442.00500,66.33536,1.00000
557280.00000,7133540.00000,442.00500,70.03163,1.00000
557300.00000,7133540.00000,442.01160,67.71830,1.00000
557320.00000,7133540.00000,442.00320,69.36018,1.00000
